source,target
/api/google-app-engine,/api/google-app-engine-admin
/api/google-app-engine,/api/google-app-engine-task-queue
/api/google-app-engine,/api/google-cloud-app-engine-tasks
/api/google-app-engine,/api/google-app-engine-admin-rpc
/api/google-maps,/api/google-static-maps
/api/google-maps,/api/google-street-view-image
/api/google-maps,/api/google-maps-directions
/api/google-maps,/api/google-maps-distance-matrix
/api/google-maps,/api//api/google-maps-elevation
/api/google-maps,/api/google-maps-geocoding
/api/google-maps,/api/google-maps-geolocation
/api/google-maps,/api/google-maps-places
/api/google-maps,/api/google-maps-roads
/api/google-maps,/api/google-maps-time-zone
/api/twitter,/api/twitter-ads
/api/twitter,/api/twitter-search-tweets
/api/twitter,/api/twitter-direct-message
/api/facebook,/api/facebook-ads
/api/facebook,/api/facebook-atlas
/api/facebook,/api/facebook-graph
/api/facebook,/api/facebook-marketing
/api/advicent-narrator-connect,/api/advicent-narrator-connect-naviplan-fact-finder
/api/advicent-narrator-connect,/api/advicent-narrator-connect-naviplan-financial-planning
/api/world-weather-online,/api/world-weather-online-city-search
/api/world-weather-online,/api/world-weather-online-time-zone
/api/world-weather-online,/api/world-weather-online-ski-and-mountain
/api/world-weather-online,/api/world-weather-online-historical-or-past-weather
/api/world-weather-online,/api/world-weather-online-local-city-weather
/api/world-weather-online,/api/world-weather-online-marine-sailing-surfing-weather
/api/world-weather-online,/api/world-weather-online-ski-weather
/api/mendix,/api/mendix-client
/api/mendix,/api/mendix-model
/api/mendix,/api/mendix-stories
/api/mendix,/api/mendix-projects
/api/mendix,/api/mendix-profile
/api/mendix,/api/mendix-permissions
/api/mendix,/api/mendix-invite
/api/mendix,/api/mendix-build
/api/mendix,/api/mendix-feedback
/api/mendix,/api/mendix-user-management
/api/mendix,/api/mendix-single-sign
/api/mendix,/api/mendix-team-server
/api/mendix,/api/mendix-deploy

