source,target
/api/weather-channel,/api/weather-company-data-core
/api/silverpop,/api/ibm-watson-customer-engagement
/api/blockrio,/api/coinbase
/api/mondo-web-hooks,/api/monzo
/api/gunbroker-soap,/api/gunbroker
/api/mondo,/api/monzo
/api/mobiledevhq,/api/tune-app-marketing
/api/shoppingcom,/api/ebay-commerce-network
/api/mozilla-webvr,/api/webxr-device
/api/bing,/api/microsoft-azure-cognitive-services-bing-web-search
/api/linkedin-people-search,/api/linkedin
/api/google-picasa,/api/google-photos
/api/national-nutrient-database,/api/usda-fooddata-central
/api/appia,/api/digital-turbine
/api/nds-service-delivery-platform,/api/cisco-videoscape
/api/mblox,/api/clx
/api/2-waysms,/api/proovl-sms
